OGLE-BLG-CEP-147	F1	7.5325079	0.248	0.152	5.078	0.000	-99.99
OGLE-BLG-CEP-148	F	3.9272528	0.437	0.358	4.529	0.166	2.889
OGLE-BLG-CEP-149	F	12.5182000	0.568	0.109	4.512	0.129	1.120
OGLE-BLG-CEP-150	1	7.1805000	0.187	0.168	4.885	0.046	3.661
OGLE-BLG-CEP-151	F	4.0969913	0.487	0.398	4.636	0.174	3.109
OGLE-BLG-CEP-152	F1	8.5279009	0.315	0.170	5.106	0.097	3.245
OGLE-BLG-CEP-153	F	16.6901860	0.514	0.158	5.034	0.149	2.186
OGLE-BLG-CEP-154	F	2.8128629	0.602	0.455	4.401	0.243	2.583
OGLE-BLG-CEP-155	F	8.2672581	0.395	0.260	5.398	0.137	3.837
OGLE-BLG-CEP-156	F	10.2347620	0.547	0.029	5.448	0.099	0.355
OGLE-BLG-CEP-157	F	21.6322250	0.626	0.247	4.716	0.146	2.317
OGLE-BLG-CEP-158	F	19.7553850	0.769	0.284	4.624	0.153	2.644
OGLE-BLG-CEP-159	F	6.3734628	0.391	0.354	4.947	0.127	3.574
OGLE-BLG-CEP-160	F	5.9729950	0.526	0.360	4.941	0.168	3.177
OGLE-BLG-CEP-161	F	3.5464213	0.573	0.422	4.502	0.289	2.831
OGLE-BLG-CEP-162	F	14.5922134	0.767	0.284	5.198	0.173	2.571
OGLE-BLG-CEP-163	F1	3.2356014	0.412	0.302	4.411	0.147	2.291
OGLE-BLG-CEP-164	F	13.6269989	0.734	0.207	4.622	0.135	1.965
OGLE-BLG-CEP-165	F	6.4524506	0.506	0.356	4.676	0.145	2.943
OGLE-BLG-CEP-166	F	7.5288354	0.420	0.314	5.545	0.142	4.122
OGLE-BLG-CEP-167	F	11.0360660	0.829	0.370	4.825	0.110	3.836
OGLE-BLG-CEP-168	F	12.5382402	0.349	0.125	5.800	0.000	-99.99
OGLE-BLG-CEP-169	F1	0.7146045	0.059	0.000	-99.99	0.000	-99.99
OGLE-BLG-CEP-170	1	0.5834674	0.277	0.188	3.637	0.148	0.752
OGLE-BLG-CEP-171	F	1.6730103	0.218	0.283	4.577	0.040	2.398
OGLE-BLG-CEP-172	23	1.6298846	0.084	0.298	5.557	0.000	-99.99
OGLE-BLG-CEP-173	1	5.9164489	0.095	0.096	4.491	0.000	-99.99
OGLE-BLG-CEP-174	1	5.7676435	0.248	0.411	4.806	0.177	2.794
OGLE-BLG-CEP-175	F	20.0020003	0.921	0.416	4.960	0.236	3.347
OGLE-BLG-CEP-176	F	5.1768215	0.522	0.362	4.838	0.223	3.229
OGLE-BLG-CEP-177	12	0.9044509	0.315	0.299	3.959	0.091	1.818
OGLE-BLG-CEP-178	12	0.2681576	0.215	0.000	-99.99	0.000	-99.99
OGLE-BLG-CEP-179	F1	0.3407571	0.118	0.280	4.833	0.115	1.556
OGLE-BLG-CEP-180	1	0.5208546	0.244	0.113	2.929	0.078	-99.99
OGLE-BLG-CEP-181	F	6.5164858	0.479	0.336	5.018	0.115	3.054
OGLE-BLG-CEP-182	12	0.3367195	0.108	0.166	3.266	0.059	1.984
OGLE-BLG-CEP-183	F	17.0123087	0.670	0.280	4.655	0.202	2.627
OGLE-BLG-CEP-184	12	0.2898775	0.141	0.214	3.471	0.000	-99.99
OGLE-BLG-CEP-185	F	4.4226860	0.422	0.284	-99.99	0.000	-99.99
OGLE-BLG-CEP-186	12	0.2935823	0.177	0.258	3.718	0.058	1.239
OGLE-BLG-CEP-187	1	0.3924286	0.101	0.144	3.573	0.047	1.638
OGLE-BLG-CEP-188	1	6.4287401	0.181	0.193	4.085	0.000	-99.99
OGLE-BLG-CEP-189	F	3.3921936	0.353	0.339	4.440	0.216	2.524
OGLE-BLG-CEP-190	1	2.4231597	0.172	0.102	4.470	0.000	-99.99
OGLE-BLG-CEP-191	F	3.4481097	0.275	0.342	4.566	0.123	2.962
OGLE-BLG-CEP-192	12	0.2494515	0.070	0.127	4.302	0.000	-99.99
OGLE-BLG-CEP-193	F	7.4948408	0.601	0.434	4.974	0.159	3.438
OGLE-BLG-CEP-194	12	0.2763776	0.155	0.225	3.917	0.000	-99.99
OGLE-BLG-CEP-195	F	16.9129018	0.625	0.000	-99.99	0.000	-99.99
OGLE-BLG-CEP-196	1	0.2535572	0.150	0.105	3.841	0.020	4.250
OGLE-BLG-CEP-197	F	4.5789430	0.579	0.435	4.511	0.292	3.264
OGLE-BLG-CEP-198	12	0.4170015	0.167	0.182	3.957	0.000	-99.99
OGLE-BLG-CEP-199	1	5.1048093	0.157	0.137	4.197	0.075	2.701
OGLE-BLG-CEP-200	1	0.5728110	0.315	0.276	3.707	0.137	1.217
OGLE-BLG-CEP-201	F	2.5792463	0.344	0.410	4.494	0.211	2.749
OGLE-BLG-CEP-202	F	2.6431979	0.464	0.363	4.459	0.173	2.814
OGLE-BLG-CEP-203	1	3.8262118	0.085	0.178	4.099	0.000	-99.99
OGLE-BLG-CEP-204	F	4.1985242	1.186	0.432	4.125	0.296	2.069
OGLE-BLG-CEP-205	F1	0.3235705	0.287	0.196	4.598	0.132	3.056
OGLE-BLG-CEP-206	1	1.6899852	0.241	0.168	4.175	0.000	-99.99
OGLE-BLG-CEP-207	F	3.7117920	0.250	0.332	4.317	0.042	2.477
OGLE-BLG-CEP-208	1	0.6406134	0.116	0.079	3.384	0.000	-99.99
OGLE-GD-CEP-0001	1	1.3047395	0.258	0.251	4.480	0.058	2.895
OGLE-GD-CEP-0002	F	1.5809606	0.295	0.355	4.191	0.156	2.202
OGLE-GD-CEP-0003	F	4.6324223	0.679	0.467	4.654	0.229	2.996
OGLE-GD-CEP-0004	12	0.9118887	0.262	0.223	3.834	0.067	1.827
OGLE-GD-CEP-0005	1	2.4165161	0.243	0.070	4.813	0.015	6.276
OGLE-GD-CEP-0006	12	0.5339617	0.200	0.098	3.532	0.089	0.708
OGLE-GD-CEP-0007	F	4.5602554	0.557	0.429	4.574	0.203	2.849
OGLE-GD-CEP-0008	F	9.5417781	0.463	0.050	6.217	0.083	0.462
OGLE-GD-CEP-0009	F1	1.6761259	0.028	0.133	-99.99	0.124	-99.99
OGLE-GD-CEP-0010	F	16.1351377	0.443	0.175	4.827	0.138	2.651
